x[0] x[1] x[2] u[0] u[1] 
7.70233 4.91775 1.60794 0.9 0.3
7.63944 5.18354 1.69146 0.9 -0.6
7.724 5.45566 1.50674 0.9 0.3
7.68827 5.72644 1.59026 0.9 -0.6
7.79989 5.98863 1.40555 0.9 0.6
7.72754 6.26425 1.59026 0.9 0.3
7.66936 6.53111 1.67379 0.9 -0.6
7.75871 6.80169 1.48907 0.9 0.6
7.66363 7.07031 1.67379 0.9 -0.6
7.75298 7.34089 1.48907 0.9 0.6
7.65789 7.60951 1.67379 0.9 -0.6
7.74725 7.88009 1.48907 0.9 0.6
7.65216 8.14871 1.67379 0.9 -0.6
7.74152 8.41929 1.48907 0.9 -0.6
7.87905 8.66886 1.30435 0.9 -0.6
8.06008 8.88892 1.11963 0.9 -0.3
8.22459 9.10695 1.03611 0.9 -0.9
8.52764 9.20195 0.695871 0.9 -0.6
8.80197 9.27903 0.511154 0.9 -0.9
9.11182 9.20934 0.170911 0.9 -0.9
9.38065 9.04026 -0.169332 0.9 -0.6
9.61723 8.88141 -0.354048 0.9 -0.9
9.76512 8.60036 -0.694291 0.9 -0.9
9.81074 8.28607 -1.03453 0.6 -0.9
9.78124 8.07583 -1.26136 0.9 -0.9
9.65089 7.78622 -1.60161 0.6 -0.9
9.51308 7.62474 -1.82843 -0.9 0.9
9.4705 7.93946 -2.16868 0.9 -0.6
9.22771 7.79028 -2.35339 0.9 -0.6
8.96165 7.68824 -2.53811 0.9 0.9
8.88772 7.37937 -2.19787 0.9 0.9
8.9211 7.06354 -1.85762 0.9 0.9
9.05796 6.77696 -1.51738 0.6 0.9
9.19939 6.61863 -1.29055 0.9 0.9
9.46877 6.45042 -0.950311 0.9 0.6
9.71487 6.30677 -0.765594 0.9 -0.9
9.73798 5.99002 -1.10584 0.9 -0.9
9.65406 5.68372 -1.44608 0.6 -0.9
9.54293 5.50284 -1.67291 0.6 -0.9
9.39396 5.35158 -1.89974 0.6 -0.9
9.2148 5.2377 -2.12656 0.9 -0.6
8.97851 5.07844 -2.31128 0.6 0.9
8.96476 4.86659 -2.08445 0.9 0.3
8.87924 4.60719 -2.00093 0.9 0.9
8.97377 4.30399 -1.66069 0.6 0.9
9.09114 4.12709 -1.43386 0.6 0.9
9.24528 3.98111 -1.20703 -0.9 -0.9
9.25428 4.29858 -0.86679 0.9 0.6
9.5115 4.17596 -0.682073 0.9 -0.9
9.56096 3.86224 -1.02232 0.9 -0.6
9.59692 3.57957 -1.20703 0.9 -0.3
9.64274 3.3103 -1.29055 0.9 -0.9
9.50399 3.02463 -1.6308 0.6 -0.9
9.36153 2.86723 -1.85762 -0.9 0.9
9.32815 3.18306 -2.19787 0.9 -0.6
9.08111 3.04104 -2.38258 0.9 0.6
8.97282 2.77746 -2.19787 0.9 0.3
8.8585 2.52941 -2.11435 0.9 0.9
8.9181 2.21746 -1.7741 0.9 0.9
9.0784 1.94329 -1.43386 0.9 0.9
9.321 1.73833 -1.09362 0.9 -0.9
9.24083 1.43103 -1.43386 0.9 0.3
9.32989 1.17283 -1.35034 0.9 -0.6
9.27286 0.893639 -1.53506 0.9 0.3
9.33538 0.62776 -1.45154 0.9 -0.6
